,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,ride_distance,profit
0,10.0,2015-06-26 00:00:09 UTC,-73.99787139892578,40.74587631225585,-73.98875427246094,40.72713088989258,2.21954438089419,8.048860952235476
1,17.0,2015-06-26 00:00:14 UTC,-74.00837707519531,40.73587036132813,-73.97791290283203,40.783470153808594,5.878621590506975,17.196553976267438
2,5.5,2015-06-26 00:00:14 UTC,-73.99248504638672,40.7380485534668,-73.9972915649414,40.7349739074707,0.5304877283998145,3.8262193209995363
3,11.0,2015-06-26 00:00:17 UTC,-74.00188446044923,40.7509651184082,-73.96907806396483,40.78850936889648,5.005431782137883,15.013579455344708
4,5.0,2015-06-26 00:00:17 UTC,-73.97968292236328,40.74867248535156,-73.98460388183594,40.75188064575195,0.547388368696305,3.8684709217407627
5,4.0,2015-06-26 00:00:20 UTC,-73.98696899414062,40.7608642578125,-73.98504638671875,40.75791931152344,0.3651129209325454,3.4127823023313635
6,8.5,2015-06-26 00:00:20 UTC,-73.96756744384766,40.71077346801758,-73.96754455566406,40.71076965332031,0.001979942697999329,2.5049498567449984
7,15.0,2015-06-26 00:00:27 UTC,-73.99991607666014,40.73468399047852,-73.96524810791014,40.76353073120117,4.339812357913935,13.349530894784838
8,10.0,2015-06-26 00:00:27 UTC,-74.00787353515625,40.74264144897461,-73.99247741699219,40.75051879882813,1.5671682116240706,6.417920529060177
9,16.0,2015-06-26 00:00:27 UTC,-74.0073471069336,40.74348831176758,-73.9558868408203,40.7736930847168,5.489360371708173,16.223400929270433
10,17.5,2015-06-26 00:00:28 UTC,-73.98725891113281,40.76053237915039,-73.95124053955078,40.8047103881836,5.771663614038209,16.929159035095523
11,13.5,2015-06-26 00:00:28 UTC,-74.00614166259766,40.71421813964844,-73.98497772216798,40.73147201538085,2.6207477766602527,9.05186944165063
12,8.0,2015-06-26 00:00:28 UTC,-73.95903778076173,40.6942253112793,-73.94995880126955,40.676284790039055,2.1349742334542445,7.837435583635611
13,39.04,2015-06-26 00:00:30 UTC,-74.00202178955078,40.74041366577149,-73.95818328857422,40.63423156738281,12.359899604014432,33.399749010036075
14,14.0,2015-06-26 00:00:33 UTC,-73.9879608154297,40.731929779052734,-73.95218658447266,40.77724075317383,5.868982391786747,17.172455979466868
15,6.5,2015-06-26 00:00:33 UTC,-73.98428344726562,40.73711013793945,-73.97634887695312,40.751564025878906,1.7393711739766409,6.848427934941602
16,6.5,2015-06-26 00:00:38 UTC,-73.96651458740234,40.78918838500977,-73.95571899414062,40.782859802246094,1.1507532023295892,5.376883005823974
17,5.5,2015-06-26 00:00:40 UTC,-73.98590087890625,40.75725173950195,-73.98628997802734,40.766510009765625,1.0286493167079125,5.071623291769781
18,16.5,2015-06-26 00:00:47 UTC,-74.00752258300781,40.72565460205078,-73.95541381835938,40.71999740600585,4.447091953635448,13.617729884088622
19,4.5,2015-06-26 00:00:47 UTC,-73.98912048339844,40.7229881286621,-73.99213409423827,40.7253303527832,0.36397247657698445,3.4099311914424613
20,9.0,2015-06-26 00:00:53 UTC,-73.9925079345703,40.72667694091797,-73.99385833740234,40.74560546875,2.1050832977029588,7.7627082442573965
21,8.5,2015-06-26 00:00:54 UTC,-73.99439239501955,40.75069046020508,-73.97169494628906,40.752838134765625,1.9315811660453033,7.328952915113258
22,3.0,2015-06-26 00:01:07 UTC,-73.99740600585938,40.74161148071289,-73.99909973144531,40.73918151855469,0.3054212707147,3.26355317678675
23,11.5,2015-06-26 00:01:07 UTC,-73.98202514648438,40.72810363769531,-73.95744323730467,40.767486572265625,4.841177927433985,14.602944818584962
24,6.0,2015-06-26 00:01:12 UTC,-74.00411987304686,40.75201416015625,-73.98921203613281,40.748023986816406,1.33470008955755,5.836750223893875
25,21.0,2015-06-26 00:01:14 UTC,-73.98848724365234,40.73718643188477,-73.97820281982422,40.66861343383789,7.664347549731974,21.660868874329935
26,52.0,2015-06-26 00:01:14 UTC,-73.77677154541014,40.64521408081055,-73.99884796142578,40.71992874145508,20.525433391102652,53.81358347775663
27,10.0,2015-06-26 00:01:25 UTC,-73.97041320800781,40.75858688354492,-73.99336242675781,40.73627853393555,3.1454238841321485,10.363559710330371
28,11.0,2015-06-26 00:01:29 UTC,-73.9462890625,40.71144485473633,-73.9194564819336,40.70296478271485,2.4552927124480384,8.638231781120096
29,9.5,2015-06-26 00:01:29 UTC,-73.9892578125,40.71902847290039,-74.01062774658203,40.71880722045898,1.8057469388391152,7.014367347097788
30,7.5,2015-06-26 00:01:34 UTC,-73.99745178222656,40.7620964050293,-73.98213958740234,40.75548553466797,1.4868577557612535,6.217144389403133
31,11.0,2015-06-26 00:01:40 UTC,-73.98186492919923,40.75768661499024,-73.97370910644531,40.79127502441406,3.7929937034138383,11.982484258534596
32,4.0,2015-06-26 00:01:52 UTC,-73.98201751708984,40.775215148925774,-73.9844970703125,40.782371520996094,0.8218151469370112,4.554537867342528
33,7.0,2015-06-26 00:01:52 UTC,-74.00523376464845,40.7401123046875,-73.98714447021484,40.739421844482415,1.5298390190786284,6.3245975476965715
34,12.0,2015-06-26 00:01:54 UTC,-73.98936462402342,40.74076843261719,-73.98502349853516,40.713287353515625,3.0736941706203207,10.184235426550803
35,20.5,2015-06-26 00:01:54 UTC,-73.99207305908203,40.72912979125977,-73.97940063476562,40.66074752807617,7.6688820289079915,21.67220507226998
36,14.5,2015-06-26 00:02:01 UTC,-73.97441864013672,40.79362869262695,-74.00220489501955,40.74540328979492,5.846685341527296,17.11671335381824
37,14.5,2015-06-26 00:02:01 UTC,-73.97476959228516,40.76005935668945,-73.98773193359375,40.72127914428711,4.443494413441858,13.608736033604645
38,8.5,2015-06-26 00:02:09 UTC,-73.96932220458984,40.75354766845703,-73.98651885986328,40.72996139526367,2.9950047563153746,9.987511890788436
39,11.0,2015-06-26 00:02:09 UTC,-73.98368835449219,40.75953674316406,-73.98798370361328,40.7295036315918,3.354819037116713,10.887047592791783
40,24.0,2015-06-26 00:02:21 UTC,-73.97086334228516,40.75701141357422,-73.94661712646483,40.707740783691406,5.842238120934866,17.105595302337164
41,20.0,2015-06-26 00:02:26 UTC,-73.97378540039062,40.762031555175774,-73.9094467163086,40.81701278686523,8.171139900493502,22.927849751233754
42,14.0,2015-06-26 00:02:28 UTC,-73.94865417480467,40.77374267578125,-73.97876739501955,40.766685485839844,2.6604088054821724,9.15102201370543
43,4.5,2015-06-26 00:02:30 UTC,-73.99742126464845,40.6910514831543,-73.98375701904298,40.68645858764648,1.2626311696472259,5.656577924118064
44,6.5,2015-06-26 00:02:36 UTC,-73.97908782958984,40.758602142333984,-73.99018096923827,40.756595611572266,0.9628715113905992,4.9071787784764975
45,4.0,2015-06-26 00:02:36 UTC,-73.99517822265625,40.72516250610352,-74.0018539428711,40.719253540039055,0.8652671400819203,4.6631678502048
46,40.04,2015-06-26 00:02:48 UTC,-73.8746795654297,40.77391052246094,-73.97881317138672,40.76490020751953,8.848518443302227,24.621296108255567
47,8.0,2015-06-26 00:02:50 UTC,-74.00343322753906,40.75161743164063,-73.97928619384766,40.74963760375977,2.051070466000721,7.627676165001802
48,12.0,2015-06-26 00:02:55 UTC,-73.97660064697266,40.79075241088867,-73.95616149902342,40.771820068359375,2.719734417636195,9.299336044090488
49,13.0,2015-06-26 00:02:58 UTC,-73.78842163085938,40.64091873168945,-73.80683898925781,40.66600036621094,3.191209925541164,10.47802481385291
50,11.5,2015-06-26 00:02:58 UTC,-73.98712158203125,40.76116180419922,-73.97693634033203,40.792518615722656,3.5867449272713428,11.466862318178357
51,18.5,2015-06-26 00:03:04 UTC,-73.77680969238281,40.64507675170898,-73.84600830078125,40.67857360839844,6.9338846496265125,19.83471162406628
52,4.5,2015-06-26 00:03:10 UTC,-73.99713134765625,40.7366600036621,-73.99131774902342,40.74470138549805,1.0190905504679577,5.047726376169894
53,6.0,2015-06-26 00:03:12 UTC,-73.95368957519531,40.730228424072266,-73.94532775878906,40.718021392822266,1.528609962944373,6.321524907360932
54,3.5,2015-06-26 00:03:13 UTC,-73.97273254394531,40.792572021484375,-73.9780502319336,40.786563873291016,0.8041172539843129,4.510293134960782
55,51.5,2015-06-26 00:03:22 UTC,-73.77748107910156,40.64666748046875,-73.99158477783203,40.68878173828125,18.698107343013245,49.245268357533114
56,5.0,2015-06-26 00:03:23 UTC,-73.99842071533203,40.72968673706055,-73.9998550415039,40.73471450805664,0.5713234937495865,3.9283087343739664
57,23.5,2015-06-26 00:03:24 UTC,-74.00112915039062,40.7275619506836,-73.94552612304686,40.77806091308594,7.314154752723168,20.78538688180792
58,13.5,2015-06-26 00:03:24 UTC,-73.97056579589844,40.758201599121094,-73.93896484375,40.80224990844727,5.571638459571121,16.4290961489278
59,14.5,2015-06-26 00:03:24 UTC,-74.0075912475586,40.74077987670898,-74.00926971435547,40.70668029785156,3.7893638001559102,11.973409500389776
60,17.0,2015-06-26 00:03:25 UTC,-73.97154235839844,40.76313018798828,-73.92683410644531,40.73877334594727,4.644521475858376,14.11130368964594
61,18.54,2015-06-26 00:03:25 UTC,-73.98709869384766,40.72506713867188,-73.95654296875,40.74620056152344,3.488483012563597,11.221207531408993
62,11.0,2015-06-26 00:03:25 UTC,-74.0009536743164,40.74689865112305,-73.98064422607422,40.74234390258789,1.7883365806510534,6.970841451627633
63,23.04,2015-06-26 00:03:31 UTC,-73.9767074584961,40.7477912902832,-73.89379119873048,40.740325927734375,7.05198902955439,20.129972573885976
64,12.5,2015-06-26 00:03:32 UTC,-73.97372436523438,40.76352310180664,-74.00543212890625,40.73982620239258,3.7543455669008505,11.885863917252127
65,5.5,2015-06-26 00:03:48 UTC,-73.96884155273438,40.76140594482422,-73.98125457763672,40.757976531982415,1.1151975199132358,5.28799379978309
